# t_fs P_donor rate_au
3.739821045870193643e+02 0.000000000000000000e+00 2.607894682652374172e+02
3.749820567383215462e+02 0.000000000000000000e+00 2.305450128615368328e+02
3.759820088896237280e+02 0.000000000000000000e+00 1.891649455672737190e+02
3.769819610409259099e+02 0.000000000000000000e+00 1.519049153795149891e+02
3.779819131922280917e+02 0.000000000000000000e+00 1.397415256389841431e+02
3.789818653435302735e+02 0.000000000000000000e+00 1.638445190646949072e+02
3.799818174948324554e+02 0.000000000000000000e+00 2.082414958691535105e+02
3.809817696461346941e+02 0.000000000000000000e+00 2.412329293176394174e+02
3.819817217974368759e+02 0.000000000000000000e+00 2.457326125543779085e+02
3.829816739487390578e+02 0.000000000000000000e+00 2.295097963672382662e+02
